                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2048,                 3.5859,                 4.2349,                0.00333,                      1,                0.04107,                0.01654,                 2.1932,                  3.757,                 4.1583,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.9936,                 3.5055,                  4.196,                0.00333,                      1,                0.21287,                0.06765,                 2.1881,                 3.7644,                 4.1544,              0.0001474,              0.0001474,              0.0001474
                      3,                 3.1304,                 3.5266,                 4.1659,                0.00333,                      1,                 0.1293,                0.06652,                  2.181,                 3.7711,                 4.1482,              0.0001156,              0.0001156,              0.0001156
